Element,Error_50us_pct,Error_25us_pct,Error_12p5us_pct,Error_RE1_pct,Error_RE2_pct,Error_Mixed_pct,Observed_p_50_to_25,Observed_p_25_to_12p5,ErrorAngle_50_to_25_deg,ErrorAngle_25_to_12p5_deg
Ydd,3.09365928630373,1.47943571175014,0.693367700024101,0.137246892355335,0.945651364573474,0.0794224829386354,1.06426731113995,1.09335446976216,-0.95411813410303,-0.441289112210511
Ydq,2.55729927662424,1.22093394423748,0.571267488623628,0.113166926558726,0.776702518966867,0.0661667283448042,1.06663585793053,1.09574681658789,0.878958882199364,0.47933368678865
Yqd,1.93449393501814,0.915634739892053,0.426481292044722,0.11460359436859,0.575481137301624,0.0493061313814909,1.07911209966997,1.10228974298249,1.46277270806018,0.743529182033202
Yqq,2.05980384637181,0.997398107618913,0.47015889448273,0.0805776389492924,0.64635735934461,0.0551138702091568,1.04626558627861,1.08502105462057,-1.38996415476998,-0.686922065870117
