Element,Error_50us_pct,Error_25us_pct,Error_12p5us_pct,Error_RE1_pct,Error_RE2_pct,Error_Mixed_pct,Observed_p_50_to_25,Observed_p_25_to_12p5,ErrorAngle_50_to_25_deg,ErrorAngle_25_to_12p5_deg
Ydd,2.21648897992161,2.3575152736146,2.42810019292912,2.49974512862149,2.40480145245161,2.49870115981395,-0.0889909280673469,-0.0425608363658315,1.35777543985142,0.621548142314243
Ydq,5.95404229530812,5.98965390979255,6.00766738727128,6.02604196146733,6.0016977380256,6.02582135048536,-0.00860317459201956,-0.00433229610396433,0.663594309355828,0.331521980288804
Yqd,1.43102280596074,1.52059871421262,1.57248052142137,1.62917186506965,1.55485879889343,1.62849867670693,-0.0875928120446507,-0.0484026700394645,6.82687529559231,3.10560718480562
Yqq,9.36964988223259,9.31011335522062,9.28094809570126,9.25166336397863,9.29050816589338,9.25219693137638,0.00919640597436447,0.00452654195175468,0.642204746420037,0.327638892003357
