Domain, Ia, Ea
9.5218,-9.61E-05,-0.013857243
9.52185,-8.91E-05,-0.013866048
9.5219,-8.21E-05,-0.013874715
9.52195,-7.51E-05,-0.013883246
9.522,-6.82E-05,-0.01389164
9.52205,-6.12E-05,-0.013899896
9.5221,-5.42E-05,-0.013908015
9.52215,-4.72E-05,-0.013915998
9.5222,-4.02E-05,-0.013923842
9.52225,-3.32E-05,-0.01393155
9.5223,-2.63E-05,-0.01393912
9.52235,-1.93E-05,-0.013946552
9.5224,-1.23E-05,-0.013953846
9.52245,-5.31E-06,-0.013961003
9.5225,1.67E-06,-0.013968022
9.52255,8.65E-06,-0.013974904
9.5226,1.56E-05,-0.013981647
9.52265,2.26E-05,-0.013988252
9.5227,2.96E-05,-0.01399472
9.52275,3.66E-05,-0.014001049
9.5228,4.36E-05,-0.01400724
9.52285,5.05E-05,-0.014013293
9.5229,5.75E-05,-0.014019207
9.52295,6.45E-05,-0.014024983
9.523,7.15E-05,-0.014030621
9.52305,7.85E-05,-0.01403612
9.5231,8.54E-05,-0.01404148
9.52315,9.24E-05,-0.014046702
9.5232,9.94E-05,-0.014051786
9.52325,0.000106378,-0.014056731
9.5233,0.000113352,-0.014061537
9.52335,0.000120326,-0.014066204
9.5234,0.000127298,-0.014070732
9.52345,0.000134269,-0.014075122
9.5235,0.000141239,-0.014079372
9.52355,0.000148207,-0.014083484
9.5236,0.000155174,-0.014087457
9.52365,0.000162139,-0.01409129
9.5237,0.000169103,-0.014094985
9.52375,0.000176065,-0.01409854
9.5238,0.000183026,-0.014101956
9.52385,0.000189984,-0.014105233
9.5239,0.000196941,-0.014108371
9.52395,0.000203896,-0.01411137
9.524,0.000210848,-0.014114229
9.52405,0.000217799,-0.014116949
9.5241,0.000224747,-0.01411953
9.52415,0.000231694,-0.014121971
9.5242,0.000238638,-0.014124273
9.52425,0.000245579,-0.014126436
9.5243,0.000252519,-0.014128459
9.52435,0.000259455,-0.014130343
9.5244,0.000266389,-0.014132087
9.52445,0.000273321,-0.014133692
9.5245,0.00028025,-0.014135157
9.52455,0.000287176,-0.014136483
9.5246,0.000294099,-0.014137669
9.52465,0.000301019,-0.014138716
9.5247,0.000307937,-0.014139623
9.52475,0.000314851,-0.014140391
9.5248,0.000321762,-0.014141019
9.52485,0.00032867,-0.014141508
9.5249,0.000335575,-0.014141856
9.52495,0.000342476,-0.014142066
9.525,0.000349375,-0.014142136
9.52505,0.000356269,-0.014142066
9.5251,0.00036316,-0.014141856
9.52515,0.000370048,-0.014141508
9.5252,0.000376932,-0.014141019
9.52525,0.000383812,-0.014140391
9.5253,0.000390688,-0.014139623
9.52535,0.000397561,-0.014138716
9.5254,0.000404429,-0.014137669
9.52545,0.000411294,-0.014136483
9.5255,0.000418155,-0.014135157
9.52555,0.000425011,-0.014133692
9.5256,0.000431863,-0.014132087
9.52565,0.000438711,-0.014130343
9.5257,0.000445555,-0.014128459
9.52575,0.000452394,-0.014126436
9.5258,0.000459229,-0.014124273
9.52585,0.000466059,-0.014121971
9.5259,0.000472885,-0.01411953
9.52595,0.000479706,-0.014116949
9.526,0.000486522,-0.014114229
9.52605,0.000493333,-0.01411137
9.5261,0.00050014,-0.014108371
9.52615,0.000506942,-0.014105233
9.5262,0.000513738,-0.014101956
9.52625,0.00052053,-0.01409854
9.5263,0.000527316,-0.014094985
9.52635,0.000534097,-0.01409129
9.5264,0.000540873,-0.014087457
9.52645,0.000547644,-0.014083484
9.5265,0.000554409,-0.014079372
9.52655,0.000561169,-0.014075122
9.5266,0.000567923,-0.014070732
9.52665,0.000574672,-0.014066204
9.5267,0.000581415,-0.014061537
9.52675,0.000588152,-0.014056731
9.5268,0.000594883,-0.014051786
9.52685,0.000601609,-0.014046702
9.5269,0.000608328,-0.01404148
9.52695,0.000615042,-0.01403612
9.527,0.000621749,-0.014030621
9.52705,0.000628451,-0.014024983
9.5271,0.000635146,-0.014019207
9.52715,0.000641835,-0.014013293
9.5272,0.000648517,-0.01400724
9.52725,0.000655193,-0.014001049
9.5273,0.000661863,-0.01399472
9.52735,0.000668526,-0.013988252
9.5274,0.000675183,-0.013981647
9.52745,0.000681833,-0.013974904
9.5275,0.000688476,-0.013968022
9.52755,0.000695112,-0.013961003
9.5276,0.000701742,-0.013953846
9.52765,0.000708364,-0.013946552
9.5277,0.00071498,-0.01393912
9.52775,0.000721588,-0.01393155
9.5278,0.00072819,-0.013923842
9.52785,0.000734784,-0.013915998
9.5279,0.000741371,-0.013908015
9.52795,0.000747951,-0.013899896
9.528,0.000754523,-0.01389164
9.52805,0.000761088,-0.013883246
9.5281,0.000767645,-0.013874715
9.52815,0.000774195,-0.013866048
9.5282,0.000780737,-0.013857243
9.52825,0.000787271,-0.013848302
9.5283,0.000793798,-0.013839224
9.52835,0.000800317,-0.013830009
9.5284,0.000806828,-0.013820658
9.52845,0.000813331,-0.013811171
9.5285,0.000819825,-0.013801547
9.52855,0.000826312,-0.013791787
9.5286,0.000832791,-0.013781891
9.52865,0.000839261,-0.013771859
9.5287,0.000845723,-0.013761691
9.52875,0.000852177,-0.013751387
9.5288,0.000858623,-0.013740948
9.52885,0.00086506,-0.013730373
9.5289,0.000871488,-0.013719662
9.52895,0.000877908,-0.013708816
9.529,0.000884319,-0.013697834
9.52905,0.000890721,-0.013686718
9.5291,0.000897115,-0.013675466
9.52915,0.0009035,-0.01366408
9.5292,0.000909875,-0.013652558
