Domain, Ia, Ea
0,0,0
5.00E-05,5.00E-11,-2.67E-07
0.0001,3.66E-10,-1.07E-06
0.00015,1.22E-09,-2.40E-06
0.0002,2.86E-09,-4.26E-06
0.00025,5.57E-09,-6.65E-06
0.0003,9.61E-09,-9.58E-06
0.00035,1.52E-08,-1.30E-05
0.0004,2.27E-08,-1.70E-05
0.00045,3.23E-08,-2.15E-05
0.0005,4.42E-08,-2.65E-05
0.00055,5.88E-08,-3.20E-05
0.0006,7.62E-08,-3.81E-05
0.00065,9.67E-08,-4.46E-05
0.0007,1.21E-07,-5.16E-05
0.00075,1.48E-07,-5.92E-05
0.0008,1.79E-07,-6.72E-05
0.00085,2.15E-07,-7.57E-05
0.0009,2.55E-07,-8.47E-05
0.00095,2.99E-07,-9.42E-05
0.001,3.48E-07,-0.000104121
0.00105,4.02E-07,-0.000114513
0.0011,4.61E-07,-0.000125355
0.00115,5.26E-07,-0.000136641
0.0012,5.96E-07,-0.000148362
0.00125,6.72E-07,-0.00016051
0.0013,7.53E-07,-0.000173076
0.00135,8.41E-07,-0.00018605
0.0014,9.36E-07,-0.000199425
0.00145,1.04E-06,-0.000213188
0.0015,1.14E-06,-0.000227332
0.00155,1.26E-06,-0.000241845
0.0016,1.38E-06,-0.000256717
0.00165,1.51E-06,-0.000271936
0.0017,1.64E-06,-0.000287492
0.00175,1.79E-06,-0.000303374
0.0018,1.94E-06,-0.000319568
0.00185,2.10E-06,-0.000336064
0.0019,2.26E-06,-0.00035285
0.00195,2.44E-06,-0.000369912
0.002,2.62E-06,-0.000387238
0.00205,2.81E-06,-0.000404816
0.0021,3.00E-06,-0.000422631
0.00215,3.21E-06,-0.00044067
0.0022,3.42E-06,-0.00045892
0.00225,3.65E-06,-0.000477368
0.0023,3.88E-06,-0.000495998
0.00235,4.12E-06,-0.000514797
0.0024,4.36E-06,-0.00053375
0.00245,4.62E-06,-0.000552843
0.0025,4.88E-06,-0.000572061
0.00255,5.15E-06,-0.00059139
0.0026,5.43E-06,-0.000610813
0.00265,5.72E-06,-0.000630316
0.0027,6.02E-06,-0.000649883
0.00275,6.32E-06,-0.0006695
0.0028,6.63E-06,-0.00068915
0.00285,6.96E-06,-0.000708818
0.0029,7.28E-06,-0.000728488
0.00295,7.62E-06,-0.000748145
0.003,7.96E-06,-0.000767771
0.00305,8.32E-06,-0.000787352
0.0031,8.68E-06,-0.000806871
0.00315,9.04E-06,-0.000826311
0.0032,9.42E-06,-0.000845658
0.00325,9.80E-06,-0.000864894
0.0033,1.02E-05,-0.000884004
0.00335,1.06E-05,-0.00090297
0.0034,1.10E-05,-0.000921777
0.00345,1.14E-05,-0.000940409
0.0035,1.18E-05,-0.000958848
0.00355,1.22E-05,-0.00097708
0.0036,1.27E-05,-0.000995087
0.00365,1.31E-05,-0.001012854
0.0037,1.35E-05,-0.001030364
0.00375,1.40E-05,-0.001047602
0.0038,1.44E-05,-0.00106455
0.00385,1.49E-05,-0.001081194
0.0039,1.53E-05,-0.001097517
0.00395,1.58E-05,-0.001113504
0.004,1.62E-05,-0.001129138
0.00405,1.67E-05,-0.001144405
0.0041,1.72E-05,-0.001159289
0.00415,1.76E-05,-0.001173774
0.0042,1.81E-05,-0.001187846
0.00425,1.86E-05,-0.001201488
0.0043,1.91E-05,-0.001214688
0.00435,1.96E-05,-0.001227428
0.0044,2.00E-05,-0.001239696
0.00445,2.05E-05,-0.001251477
0.0045,2.10E-05,-0.001262756
0.00455,2.15E-05,-0.001273519
0.0046,2.20E-05,-0.001283754
0.00465,2.25E-05,-0.001293445
0.0047,2.29E-05,-0.001302581
0.00475,2.34E-05,-0.001311147
0.0048,2.39E-05,-0.001319131
0.00485,2.44E-05,-0.00132652
0.0049,2.48E-05,-0.001333302
0.00495,2.53E-05,-0.001339465
0.005,2.58E-05,-0.001344997
0.00505,2.62E-05,-0.001349886
0.0051,2.67E-05,-0.001354122
0.00515,2.71E-05,-0.001357692
0.0052,2.76E-05,-0.001360587
0.00525,2.80E-05,-0.001362796
0.0053,2.85E-05,-0.001364309
0.00535,2.89E-05,-0.001365117
0.0054,2.93E-05,-0.001365209
0.00545,2.97E-05,-0.001364578
0.0055,3.01E-05,-0.001363213
0.00555,3.05E-05,-0.001361108
0.0056,3.09E-05,-0.001358253
0.00565,3.13E-05,-0.001354641
0.0057,3.17E-05,-0.001350266
0.00575,3.20E-05,-0.001345119
0.0058,3.24E-05,-0.001339195
0.00585,3.27E-05,-0.001332486
0.0059,3.30E-05,-0.001324989
0.00595,3.33E-05,-0.001316697
0.006,3.36E-05,-0.001307604
0.00605,3.39E-05,-0.001297708
0.0061,3.42E-05,-0.001287003
0.00615,3.44E-05,-0.001275485
0.0062,3.47E-05,-0.001263152
0.00625,3.49E-05,-0.00125
0.0063,3.51E-05,-0.001236027
0.00635,3.53E-05,-0.001221231
0.0064,3.55E-05,-0.00120561
0.00645,3.56E-05,-0.001189163
0.0065,3.58E-05,-0.00117189
0.00655,3.59E-05,-0.001153789
0.0066,3.60E-05,-0.001134861
0.00665,3.61E-05,-0.001115107
0.0067,3.62E-05,-0.001094527
0.00675,3.62E-05,-0.001073123
0.0068,3.63E-05,-0.001050897
0.00685,3.63E-05,-0.001027851
0.0069,3.63E-05,-0.001003988
0.00695,3.62E-05,-0.000979311
0.007,3.62E-05,-0.000953824
0.00705,3.61E-05,-0.00092753
0.0071,3.60E-05,-0.000900436
0.00715,3.59E-05,-0.000872545
0.0072,3.57E-05,-0.000843862
0.00725,3.56E-05,-0.000814395
0.0073,3.54E-05,-0.00078415
0.00735,3.52E-05,-0.000753132
0.0074,3.49E-05,-0.00072135
0.00745,3.47E-05,-0.000688811
0.0075,3.44E-05,-0.000655524
0.00755,3.40E-05,-0.000621497
0.0076,3.37E-05,-0.000586739
0.00765,3.33E-05,-0.000551259
0.0077,3.29E-05,-0.000515069
0.00775,3.25E-05,-0.000478177
0.0078,3.21E-05,-0.000440595
0.00785,3.16E-05,-0.000402334
0.0079,3.11E-05,-0.000363406
0.00795,3.06E-05,-0.000323823
0.008,3.00E-05,-0.000283597
0.00805,2.95E-05,-0.000242741
0.0081,2.89E-05,-0.000201269
0.00815,2.82E-05,-0.000159195
0.0082,2.76E-05,-0.000116532
0.00825,2.69E-05,-7.33E-05
0.0083,2.61E-05,-2.95E-05
0.00835,2.54E-05,1.48E-05
0.0084,2.46E-05,5.97E-05
0.00845,2.38E-05,0.000105085
0.0085,2.30E-05,0.000150959
0.00855,2.21E-05,0.000197311
0.0086,2.12E-05,0.000244125
0.00865,2.03E-05,0.000291382
0.0087,1.94E-05,0.000339065
0.00875,1.84E-05,0.000387156
0.0088,1.74E-05,0.000435635
0.00885,1.64E-05,0.000484485
0.0089,1.53E-05,0.000533686
0.00895,1.42E-05,0.000583218
0.009,1.31E-05,0.000633061
0.00905,1.19E-05,0.000683196
0.0091,1.08E-05,0.000733602
0.00915,9.58E-06,0.000784259
0.0092,8.35E-06,0.000835144
0.00925,7.10E-06,0.000886238
0.0093,5.82E-06,0.000937519
0.00935,4.52E-06,0.000988965
0.0094,3.19E-06,0.001040554
0.00945,1.83E-06,0.001092263
0.0095,4.46E-07,0.001144071
0.00955,-9.62E-07,0.001195955
0.0096,-2.40E-06,0.001247893
0.00965,-3.85E-06,0.00129986
0.0097,-5.34E-06,0.001351834
0.00975,-6.84E-06,0.001403792
0.0098,-8.37E-06,0.00145571
0.00985,-9.92E-06,0.001507564
0.0099,-1.15E-05,0.001559331
0.00995,-1.31E-05,0.001610987
0.01,-1.47E-05,0.001662508
0.01005,-1.64E-05,0.001713869
0.0101,-1.80E-05,0.001765047
0.01015,-1.97E-05,0.001816016
0.0102,-2.14E-05,0.001866754
0.01025,-2.31E-05,0.001917234
0.0103,-2.49E-05,0.001967434
0.01035,-2.66E-05,0.002017327
0.0104,-2.84E-05,0.00206689
0.01045,-3.02E-05,0.002116098
0.0105,-3.20E-05,0.002164926
0.01055,-3.38E-05,0.00221335
0.0106,-3.56E-05,0.002261346
0.01065,-3.75E-05,0.002308888
0.0107,-3.94E-05,0.002355952
0.01075,-4.12E-05,0.002402513
0.0108,-4.31E-05,0.002448548
0.01085,-4.50E-05,0.002494031
0.0109,-4.69E-05,0.002538939
0.01095,-4.89E-05,0.002583247
0.011,-5.08E-05,0.002626932
0.01105,-5.27E-05,0.002669969
0.0111,-5.47E-05,0.002712334
0.01115,-5.66E-05,0.002754005
0.0112,-5.86E-05,0.002794956
0.01125,-6.05E-05,0.002835165
0.0113,-6.25E-05,0.002874609
0.01135,-6.45E-05,0.002913265
0.0114,-6.64E-05,0.00295111
0.01145,-6.84E-05,0.002988121
0.0115,-7.04E-05,0.003024276
0.01155,-7.23E-05,0.003059552
0.0116,-7.43E-05,0.003093929
0.01165,-7.63E-05,0.003127383
0.0117,-7.82E-05,0.003159895
0.01175,-8.02E-05,0.003191442
0.0118,-8.22E-05,0.003222004
0.01185,-8.41E-05,0.00325156
0.0119,-8.60E-05,0.00328009
0.01195,-8.80E-05,0.003307575
0.012,-8.99E-05,0.003333993
0.01205,-9.18E-05,0.003359328
0.0121,-9.37E-05,0.003383559
0.01215,-9.56E-05,0.003406667
0.0122,-9.74E-05,0.003428636
0.01225,-9.93E-05,0.003449446
0.0123,-0.000101149,0.003469081
0.01235,-0.000102974,0.003487524
0.0124,-0.000104782,0.003504758
0.01245,-0.00010657,0.003520766
0.0125,-0.000108339,0.003535534
0.01255,-0.000110087,0.003549045
0.0126,-0.000111813,0.003561286
0.01265,-0.000113516,0.003572241
0.0127,-0.000115195,0.003581897
0.01275,-0.000116848,0.00359024
0.0128,-0.000118476,0.003597257
0.01285,-0.000120076,0.003602936
0.0129,-0.000121648,0.003607265
0.01295,-0.000123191,0.003610232
0.013,-0.000124703,0.003611826
0.01305,-0.000126184,0.003612037
0.0131,-0.000127632,0.003610855
0.01315,-0.000129047,0.003608271
0.0132,-0.000130427,0.003604275
0.01325,-0.000131771,0.00359886
0.0133,-0.000133079,0.003592017
0.01335,-0.000134349,0.00358374
0.0134,-0.00013558,0.003574021
0.01345,-0.000136772,0.003562855
0.0135,-0.000137923,0.003550237
0.01355,-0.000139032,0.003536161
0.0136,-0.000140098,0.003520622
0.01365,-0.000141121,0.003503619
0.0137,-0.000142099,0.003485146
0.01375,-0.000143032,0.003465202
0.0138,-0.000143918,0.003443785
0.01385,-0.000144756,0.003420894
0.0139,-0.000145546,0.003396527
0.01395,-0.000146287,0.003370685
0.014,-0.000146977,0.003343368
0.01405,-0.000147617,0.003314578
0.0141,-0.000148204,0.003284316
0.01415,-0.000148739,0.003252584
0.0142,-0.00014922,0.003219387
0.01425,-0.000149646,0.003184727
0.0143,-0.000150018,0.003148608
0.01435,-0.000150333,0.003111036
0.0144,-0.000150591,0.003072017
0.01445,-0.000150791,0.003031556
0.0145,-0.000150934,0.00298966
