Domain, Ia, Ea
0,0,0
5.00E-05,5.55E-11,-2.22E-07
0.0001,3.33E-10,-8.88E-07
0.00015,1.05E-09,-2.00E-06
0.0002,2.44E-09,-3.55E-06
0.00025,4.71E-09,-5.55E-06
0.0003,8.09E-09,-7.99E-06
0.00035,1.28E-08,-1.09E-05
0.0004,1.90E-08,-1.42E-05
0.00045,2.70E-08,-1.79E-05
0.0005,3.70E-08,-2.21E-05
0.00055,4.92E-08,-2.67E-05
0.0006,6.38E-08,-3.18E-05
0.00065,8.09E-08,-3.73E-05
0.0007,1.01E-07,-4.32E-05
0.00075,1.24E-07,-4.95E-05
0.0008,1.50E-07,-5.63E-05
0.00085,1.80E-07,-6.34E-05
0.0009,2.13E-07,-7.10E-05
0.00095,2.50E-07,-7.90E-05
0.001,2.91E-07,-8.74E-05
0.00105,3.37E-07,-9.62E-05
0.0011,3.86E-07,-0.000105391
0.00115,4.41E-07,-0.000114974
0.0012,5.00E-07,-0.000124946
0.00125,5.64E-07,-0.000135299
0.0013,6.33E-07,-0.00014603
0.00135,7.07E-07,-0.000157132
0.0014,7.87E-07,-0.0001686
0.00145,8.72E-07,-0.000180429
0.0015,9.63E-07,-0.000192612
0.00155,1.06E-06,-0.000205143
0.0016,1.16E-06,-0.000218017
0.00165,1.27E-06,-0.000231226
0.0017,1.39E-06,-0.000244764
0.00175,1.51E-06,-0.000258624
0.0018,1.64E-06,-0.000272798
0.00185,1.77E-06,-0.000287281
0.0019,1.92E-06,-0.000302064
0.00195,2.06E-06,-0.00031714
0.002,2.22E-06,-0.000332502
0.00205,2.38E-06,-0.00034814
0.0021,2.55E-06,-0.000364048
0.00215,2.73E-06,-0.000380217
0.0022,2.92E-06,-0.00039664
0.00225,3.11E-06,-0.000413306
0.0023,3.31E-06,-0.000430209
0.00235,3.52E-06,-0.000447338
0.0024,3.73E-06,-0.000464686
0.00245,3.95E-06,-0.000482243
0.0025,4.18E-06,-0.0005
0.00255,4.42E-06,-0.000517948
0.0026,4.67E-06,-0.000536077
0.00265,4.92E-06,-0.000554378
0.0027,5.18E-06,-0.000572841
0.00275,5.45E-06,-0.000591457
0.0028,5.73E-06,-0.000610215
0.00285,6.02E-06,-0.000629106
0.0029,6.31E-06,-0.00064812
0.00295,6.61E-06,-0.000667246
0.003,6.92E-06,-0.000686474
0.00305,7.24E-06,-0.000705793
0.0031,7.56E-06,-0.000725195
0.00315,7.89E-06,-0.000744666
0.0032,8.23E-06,-0.000764198
0.00325,8.58E-06,-0.00078378
0.0033,8.93E-06,-0.0008034
0.00335,9.29E-06,-0.000823048
0.0034,9.66E-06,-0.000842714
0.00345,1.00E-05,-0.000862385
0.0035,1.04E-05,-0.000882051
0.00355,1.08E-05,-0.000901702
0.0036,1.12E-05,-0.000921325
0.00365,1.16E-05,-0.000940911
0.0037,1.20E-05,-0.000960447
0.00375,1.24E-05,-0.000979922
0.0038,1.29E-05,-0.000999326
0.00385,1.33E-05,-0.001018647
0.0039,1.37E-05,-0.001037873
0.00395,1.42E-05,-0.001056994
0.004,1.46E-05,-0.001075998
0.00405,1.51E-05,-0.001094873
