Domain, Ia, Ea
0,0,0
5.00E-05,3.82E-12,-2.22E-08
0.0001,2.98E-11,-8.89E-08
0.00015,1.00E-10,-2.00E-07
0.0002,2.37E-10,-3.55E-07
0.00025,4.63E-10,-5.55E-07
0.0003,8.00E-10,-8.00E-07
0.00035,1.27E-09,-1.09E-06
0.0004,1.89E-09,-1.42E-06
0.00045,2.70E-09,-1.80E-06
0.0005,3.70E-09,-2.22E-06
0.00055,4.92E-09,-2.69E-06
0.0006,6.39E-09,-3.20E-06
0.00065,8.12E-09,-3.75E-06
0.0007,1.01E-08,-4.35E-06
0.00075,1.25E-08,-5.00E-06
0.0008,1.51E-08,-5.69E-06
0.00085,1.82E-08,-6.42E-06
0.0009,2.15E-08,-7.20E-06
0.00095,2.53E-08,-8.02E-06
0.001,2.95E-08,-8.88E-06
0.00105,3.42E-08,-9.79E-06
0.0011,3.93E-08,-1.07E-05
0.00115,4.49E-08,-1.17E-05
0.0012,5.10E-08,-1.28E-05
0.00125,5.77E-08,-1.39E-05
0.0013,6.49E-08,-1.50E-05
0.00135,7.26E-08,-1.62E-05
0.0014,8.10E-08,-1.74E-05
0.00145,9.00E-08,-1.87E-05
0.0015,9.96E-08,-2.00E-05
0.00155,1.10E-07,-2.13E-05
0.0016,1.21E-07,-2.27E-05
0.00165,1.32E-07,-2.42E-05
0.0017,1.45E-07,-2.57E-05
0.00175,1.58E-07,-2.72E-05
0.0018,1.72E-07,-2.88E-05
0.00185,1.87E-07,-3.04E-05
0.0019,2.02E-07,-3.21E-05
0.00195,2.18E-07,-3.38E-05
0.002,2.36E-07,-3.55E-05
0.00205,2.54E-07,-3.73E-05
0.0021,2.73E-07,-3.92E-05
0.00215,2.93E-07,-4.10E-05
0.0022,3.14E-07,-4.30E-05
0.00225,3.35E-07,-4.49E-05
0.0023,3.58E-07,-4.70E-05
0.00235,3.82E-07,-4.90E-05
0.0024,4.07E-07,-5.11E-05
0.00245,4.33E-07,-5.33E-05
0.0025,4.60E-07,-5.55E-05
0.00255,4.88E-07,-5.77E-05
0.0026,5.17E-07,-6.00E-05
0.00265,5.47E-07,-6.23E-05
0.0027,5.79E-07,-6.47E-05
0.00275,6.11E-07,-6.71E-05
0.0028,6.45E-07,-6.96E-05
0.00285,6.80E-07,-7.21E-05
0.0029,7.17E-07,-7.46E-05
0.00295,7.54E-07,-7.72E-05
0.003,7.93E-07,-7.99E-05
0.00305,8.33E-07,-8.25E-05
0.0031,8.75E-07,-8.53E-05
0.00315,9.18E-07,-8.80E-05
0.0032,9.62E-07,-9.08E-05
0.00325,1.01E-06,-9.37E-05
0.0033,1.05E-06,-9.66E-05
0.00335,1.10E-06,-9.95E-05
0.0034,1.15E-06,-0.000102524
0.00345,1.20E-06,-0.000105556
0.0035,1.26E-06,-0.000108631
0.00355,1.31E-06,-0.000111751
0.0036,1.37E-06,-0.000114914
0.00365,1.43E-06,-0.000118121
0.0037,1.48E-06,-0.000121372
0.00375,1.55E-06,-0.000124667
0.0038,1.61E-06,-0.000128006
0.00385,1.67E-06,-0.000131388
0.0039,1.74E-06,-0.000134815
0.00395,1.80E-06,-0.000138285
0.004,1.87E-06,-0.000141798
0.00405,1.94E-06,-0.000145356
0.0041,2.02E-06,-0.000148957
0.00415,2.09E-06,-0.000152602
0.0042,2.17E-06,-0.00015629
0.00425,2.25E-06,-0.000160023
0.0043,2.33E-06,-0.000163799
0.00435,2.41E-06,-0.000167618
0.0044,2.49E-06,-0.000171481
0.00445,2.58E-06,-0.000175388
0.0045,2.66E-06,-0.000179338
0.00455,2.75E-06,-0.000183332
0.0046,2.84E-06,-0.000187369
0.00465,2.94E-06,-0.00019145
0.0047,3.03E-06,-0.000195574
0.00475,3.13E-06,-0.000199742
0.0048,3.23E-06,-0.000203953
0.00485,3.33E-06,-0.000208208
0.0049,3.43E-06,-0.000212506
0.00495,3.54E-06,-0.000216847
0.005,3.65E-06,-0.000221232
0.00505,3.76E-06,-0.00022566
0.0051,3.87E-06,-0.000230131
0.00515,3.98E-06,-0.000234646
0.0052,4.10E-06,-0.000239204
0.00525,4.22E-06,-0.000243805
0.0053,4.34E-06,-0.000248449
0.00535,4.46E-06,-0.000253137
0.0054,4.59E-06,-0.000257868
0.00545,4.72E-06,-0.000262642
0.0055,4.85E-06,-0.000267459
0.00555,4.98E-06,-0.000272319
0.0056,5.11E-06,-0.000277222
0.00565,5.25E-06,-0.000282169
0.0057,5.39E-06,-0.000287158
0.00575,5.53E-06,-0.00029219
0.0058,5.68E-06,-0.000297266
0.00585,5.82E-06,-0.000302384
0.0059,5.97E-06,-0.000307545
0.00595,6.13E-06,-0.00031275
0.006,6.28E-06,-0.000317997
0.00605,6.44E-06,-0.000323287
0.0061,6.60E-06,-0.000328619
0.00615,6.76E-06,-0.000333995
0.0062,6.92E-06,-0.000339413
0.00625,7.09E-06,-0.000344874
0.0063,7.26E-06,-0.000350378
0.00635,7.44E-06,-0.000355925
0.0064,7.61E-06,-0.000361514
0.00645,7.79E-06,-0.000367145
0.0065,7.97E-06,-0.00037282
0.00655,8.15E-06,-0.000378537
0.0066,8.34E-06,-0.000384296
0.00665,8.53E-06,-0.000390099
0.0067,8.72E-06,-0.000395943
0.00675,8.92E-06,-0.00040183
0.0068,9.12E-06,-0.00040776
0.00685,9.32E-06,-0.000413732
0.0069,9.52E-06,-0.000419746
0.00695,9.73E-06,-0.000425803
0.007,9.94E-06,-0.000431902
0.00705,1.01E-05,-0.000438043
0.0071,1.04E-05,-0.000444226
0.00715,1.06E-05,-0.000450452
0.0072,1.08E-05,-0.00045672
0.00725,1.10E-05,-0.00046303
0.0073,1.13E-05,-0.000469383
0.00735,1.15E-05,-0.000475777
0.0074,1.17E-05,-0.000482213
0.00745,1.20E-05,-0.000488692
0.0075,1.22E-05,-0.000495212
0.00755,1.24E-05,-0.000501775
0.0076,1.27E-05,-0.000508379
0.00765,1.29E-05,-0.000515026
0.0077,1.32E-05,-0.000521714
0.00775,1.34E-05,-0.000528444
0.0078,1.37E-05,-0.000535216
0.00785,1.40E-05,-0.00054203
0.0079,1.42E-05,-0.000548885
0.00795,1.45E-05,-0.000555782
0.008,1.48E-05,-0.000562721
0.00805,1.50E-05,-0.000569701
0.0081,1.53E-05,-0.000576724
0.00815,1.56E-05,-0.000583787
0.0082,1.59E-05,-0.000590892
0.00825,1.62E-05,-0.000598039
0.0083,1.65E-05,-0.000605227
0.00835,1.68E-05,-0.000612457
0.0084,1.71E-05,-0.000619728
0.00845,1.74E-05,-0.00062704
0.0085,1.77E-05,-0.000634394
0.00855,1.80E-05,-0.000641789
0.0086,1.83E-05,-0.000649225
0.00865,1.86E-05,-0.000656702
0.0087,1.89E-05,-0.000664221
0.00875,1.93E-05,-0.000671781
0.0088,1.96E-05,-0.000679382
0.00885,1.99E-05,-0.000687024
0.0089,2.03E-05,-0.000694707
0.00895,2.06E-05,-0.000702431
0.009,2.09E-05,-0.000710195
0.00905,2.13E-05,-0.000718001
0.0091,2.16E-05,-0.000725848
0.00915,2.20E-05,-0.000733735
0.0092,2.24E-05,-0.000741664
0.00925,2.27E-05,-0.000749633
0.0093,2.31E-05,-0.000757643
0.00935,2.35E-05,-0.000765693
0.0094,2.38E-05,-0.000773784
0.00945,2.42E-05,-0.000781916
0.0095,2.46E-05,-0.000790088
0.00955,2.50E-05,-0.000798301
0.0096,2.54E-05,-0.000806554
0.00965,2.57E-05,-0.000814848
0.0097,2.61E-05,-0.000823182
0.00975,2.65E-05,-0.000831556
0.0098,2.69E-05,-0.000839971
0.00985,2.74E-05,-0.000848426
0.0099,2.78E-05,-0.000856921
0.00995,2.82E-05,-0.000865457
0.01,2.86E-05,-0.000874032
0.01005,2.90E-05,-0.000882648
0.0101,2.95E-05,-0.000891303
0.01015,2.99E-05,-0.000899999
0.0102,3.03E-05,-0.000908735
0.01025,3.08E-05,-0.00091751
0.0103,3.12E-05,-0.000926326
0.01035,3.17E-05,-0.000935181
0.0104,3.21E-05,-0.000944076
0.01045,3.26E-05,-0.000953011
0.0105,3.30E-05,-0.000961986
0.01055,3.35E-05,-0.000971
0.0106,3.40E-05,-0.000980054
0.01065,3.45E-05,-0.000989147
0.0107,3.49E-05,-0.00099828
0.01075,3.54E-05,-0.001007452
0.0108,3.59E-05,-0.001016664
0.01085,3.64E-05,-0.001025916
0.0109,3.69E-05,-0.001035206
0.01095,3.74E-05,-0.001044536
0.011,3.79E-05,-0.001053905
0.01105,3.84E-05,-0.001063313
0.0111,3.89E-05,-0.001072761
0.01115,3.94E-05,-0.001082247
0.0112,4.00E-05,-0.001091773
0.01125,4.05E-05,-0.001101338
0.0113,4.10E-05,-0.001110941
0.01135,4.16E-05,-0.001120584
0.0114,4.21E-05,-0.001130265
0.01145,4.27E-05,-0.001139986
0.0115,4.32E-05,-0.001149745
0.01155,4.38E-05,-0.001159542
0.0116,4.43E-05,-0.001169379
0.01165,4.49E-05,-0.001179254
0.0117,4.55E-05,-0.001189167
0.01175,4.60E-05,-0.001199119
0.0118,4.66E-05,-0.00120911
0.01185,4.72E-05,-0.001219139
0.0119,4.78E-05,-0.001229206
0.01195,4.84E-05,-0.001239312
0.012,4.90E-05,-0.001249456
0.01205,4.96E-05,-0.001259638
0.0121,5.02E-05,-0.001269859
0.01215,5.08E-05,-0.001280117
0.0122,5.14E-05,-0.001290414
0.01225,5.20E-05,-0.001300749
0.0123,5.27E-05,-0.001311121
0.01235,5.33E-05,-0.001321532
0.0124,5.39E-05,-0.00133198
0.01245,5.46E-05,-0.001342466
0.0125,5.52E-05,-0.00135299
0.01255,5.59E-05,-0.001363552
0.0126,5.65E-05,-0.001374151
0.01265,5.72E-05,-0.001384788
0.0127,5.79E-05,-0.001395463
0.01275,5.85E-05,-0.001406175
0.0128,5.92E-05,-0.001416924
0.01285,5.99E-05,-0.001427711
0.0129,6.06E-05,-0.001438535
0.01295,6.13E-05,-0.001449396
0.013,6.20E-05,-0.001460295
0.01305,6.27E-05,-0.001471231
0.0131,6.34E-05,-0.001482204
0.01315,6.41E-05,-0.001493214
0.0132,6.48E-05,-0.001504261
0.01325,6.55E-05,-0.001515345
0.0133,6.62E-05,-0.001526466
0.01335,6.70E-05,-0.001537623
0.0134,6.77E-05,-0.001548818
0.01345,6.85E-05,-0.001560049
0.0135,6.92E-05,-0.001571317
0.01355,7.00E-05,-0.001582621
0.0136,7.07E-05,-0.001593962
0.01365,7.15E-05,-0.00160534
0.0137,7.23E-05,-0.001616754
0.01375,7.30E-05,-0.001628204
0.0138,7.38E-05,-0.001639691
0.01385,7.46E-05,-0.001651214
0.0139,7.54E-05,-0.001662773
0.01395,7.62E-05,-0.001674369
0.014,7.70E-05,-0.001686
0.01405,7.78E-05,-0.001697667
0.0141,7.86E-05,-0.001709371
0.01415,7.94E-05,-0.00172111
0.0142,8.02E-05,-0.001732886
0.01425,8.11E-05,-0.001744697
0.0143,8.19E-05,-0.001756544
0.01435,8.27E-05,-0.001768426
0.0144,8.36E-05,-0.001780344
0.01445,8.44E-05,-0.001792298
0.0145,8.53E-05,-0.001804287
0.01455,8.62E-05,-0.001816312
0.0146,8.70E-05,-0.001828372
0.01465,8.79E-05,-0.001840467
0.0147,8.88E-05,-0.001852598
0.01475,8.97E-05,-0.001864764
0.0148,9.06E-05,-0.001876964
0.01485,9.15E-05,-0.001889201
0.0149,9.24E-05,-0.001901472
0.01495,9.33E-05,-0.001913778
0.015,9.42E-05,-0.001926119
0.01505,9.51E-05,-0.001938494
0.0151,9.60E-05,-0.001950905
0.01515,9.70E-05,-0.00196335
0.0152,9.79E-05,-0.00197583
0.01525,9.88E-05,-0.001988344
0.0153,9.98E-05,-0.002000893
0.01535,0.00010073,-0.002013477
0.0154,0.00010169,-0.002026095
0.01545,0.000102655,-0.002038747
0.0155,0.000103626,-0.002051433
0.01555,0.000104603,-0.002064154
0.0156,0.000105585,-0.002076909
0.01565,0.000106574,-0.002089698
0.0157,0.000107568,-0.00210252
0.01575,0.000108569,-0.002115377
0.0158,0.000109575,-0.002128268
0.01585,0.000110588,-0.002141192
0.0159,0.000111606,-0.002154151
0.01595,0.00011263,-0.002167143
0.016,0.00011366,-0.002180168
0.01605,0.000114697,-0.002193227
0.0161,0.000115739,-0.00220632
0.01615,0.000116787,-0.002219446
0.0162,0.000117842,-0.002232605
0.01625,0.000118902,-0.002245798
0.0163,0.000119968,-0.002259024
0.01635,0.000121041,-0.002272283
0.0164,0.00012212,-0.002285575
0.01645,0.000123205,-0.0022989
0.0165,0.000124295,-0.002312258
0.01655,0.000125392,-0.002325649
0.0166,0.000126496,-0.002339073
0.01665,0.000127605,-0.00235253
0.0167,0.000128721,-0.002366019
0.01675,0.000129842,-0.002379541
0.0168,0.00013097,-0.002393095
0.01685,0.000132104,-0.002406682
0.0169,0.000133245,-0.002420302
