Domain, Ia, Ea
0.00835,5.24E-05,-0.00204036
0.0084,5.25E-05,-0.002037379
0.00845,5.27E-05,-0.002033895
0.0085,5.29E-05,-0.002029902
0.00855,5.30E-05,-0.002025398
0.0086,5.31E-05,-0.002020381
0.00865,5.32E-05,-0.002014846
0.0087,5.33E-05,-0.002008792
0.00875,5.34E-05,-0.002002215
0.0088,5.35E-05,-0.001995113
0.00885,5.35E-05,-0.001987483
0.0089,5.35E-05,-0.001979324
0.00895,5.36E-05,-0.001970632
0.009,5.35E-05,-0.001961407
0.00905,5.35E-05,-0.001951644
0.0091,5.35E-05,-0.001941344
0.00915,5.34E-05,-0.001930504
0.0092,5.33E-05,-0.001919122
0.00925,5.32E-05,-0.001907197
0.0093,5.31E-05,-0.001894728
0.00935,5.30E-05,-0.001881713
0.0094,5.28E-05,-0.001868151
0.00945,5.26E-05,-0.001854041
0.0095,5.24E-05,-0.001839382
0.00955,5.22E-05,-0.001824174
0.0096,5.19E-05,-0.001808415
0.00965,5.17E-05,-0.001792106
0.0097,5.14E-05,-0.001775246
0.00975,5.11E-05,-0.001757835
0.0098,5.08E-05,-0.001739872
0.00985,5.04E-05,-0.001721357
0.0099,5.00E-05,-0.001702292
0.00995,4.96E-05,-0.001682675
0.01,4.92E-05,-0.001662508
0.01005,4.88E-05,-0.00164179
0.0101,4.83E-05,-0.001620524
0.01015,4.79E-05,-0.001598708
0.0102,4.73E-05,-0.001576345
0.01025,4.68E-05,-0.001553436
0.0103,4.63E-05,-0.001529981
0.01035,4.57E-05,-0.001505982
0.0104,4.51E-05,-0.00148144
0.01045,4.45E-05,-0.001456357
0.0105,4.38E-05,-0.001430735
0.01055,4.32E-05,-0.001404576
0.0106,4.25E-05,-0.001377881
0.01065,4.18E-05,-0.001350654
0.0107,4.10E-05,-0.001322895
0.01075,4.02E-05,-0.001294607
0.0108,3.95E-05,-0.001265794
0.01085,3.86E-05,-0.001236457
0.0109,3.78E-05,-0.001206599
0.01095,3.70E-05,-0.001176224
0.011,3.61E-05,-0.001145335
0.01105,3.52E-05,-0.001113934
0.0111,3.42E-05,-0.001082025
0.01115,3.33E-05,-0.001049612
0.0112,3.23E-05,-0.001016697
0.01125,3.13E-05,-0.000983286
0.0113,3.03E-05,-0.000949381
0.01135,2.92E-05,-0.000914987
0.0114,2.81E-05,-0.000880108
0.01145,2.70E-05,-0.000844748
0.0115,2.59E-05,-0.000808911
0.01155,2.48E-05,-0.000772603
0.0116,2.36E-05,-0.000735827
0.01165,2.24E-05,-0.000698588
0.0117,2.12E-05,-0.000660892
0.01175,1.99E-05,-0.000622743
0.0118,1.87E-05,-0.000584147
0.01185,1.74E-05,-0.000545109
0.0119,1.61E-05,-0.000505634
0.01195,1.47E-05,-0.000465727
0.012,1.34E-05,-0.000425395
0.01205,1.20E-05,-0.000384643
0.0121,1.06E-05,-0.000343478
0.01215,9.14E-06,-0.000301904
0.0122,7.69E-06,-0.000259929
0.01225,6.22E-06,-0.000217558
0.0123,4.72E-06,-0.000174798
0.01235,3.20E-06,-0.000131656
0.0124,1.66E-06,-8.81E-05
0.01245,1.03E-07,-4.42E-05
0.0125,-1.48E-06,-3.97E-17
0.01255,-3.08E-06,4.46E-05
0.0126,-4.71E-06,8.96E-05
0.01265,-6.35E-06,0.000134854
0.0127,-8.01E-06,0.000180483
0.01275,-9.70E-06,0.000226438
0.0128,-1.14E-05,0.000272712
0.01285,-1.31E-05,0.000319298
0.0129,-1.49E-05,0.000366187
0.01295,-1.66E-05,0.000413372
0.013,-1.84E-05,0.000460845
0.01305,-2.02E-05,0.000508597
0.0131,-2.20E-05,0.000556622
0.01315,-2.39E-05,0.00060491
0.0132,-2.57E-05,0.000653453
0.01325,-2.76E-05,0.000702243
0.0133,-2.95E-05,0.000751271
0.01335,-3.14E-05,0.000800528
0.0134,-3.33E-05,0.000850007
0.01345,-3.52E-05,0.000899698
0.0135,-3.72E-05,0.000949592
0.01355,-3.91E-05,0.00099968
0.0136,-4.11E-05,0.001049954
0.01365,-4.31E-05,0.001100403
0.0137,-4.51E-05,0.00115102
0.01375,-4.71E-05,0.001201794
0.0138,-4.92E-05,0.001252717
0.01385,-5.12E-05,0.001303778
0.0139,-5.33E-05,0.001354968
0.01395,-5.53E-05,0.001406279
0.014,-5.74E-05,0.001457699
0.01405,-5.95E-05,0.001509219
0.0141,-6.16E-05,0.00156083
0.01415,-6.37E-05,0.001612522
0.0142,-6.58E-05,0.001664284
0.01425,-6.79E-05,0.001716107
0.0143,-7.01E-05,0.001767981
0.01435,-7.22E-05,0.001819895
0.0144,-7.43E-05,0.001871839
0.01445,-7.65E-05,0.001923803
0.0145,-7.86E-05,0.001975777
0.01455,-8.08E-05,0.002027751
0.0146,-8.30E-05,0.002079714
0.01465,-8.51E-05,0.002131655
0.0147,-8.73E-05,0.002183565
0.01475,-8.95E-05,0.002235432
0.0148,-9.17E-05,0.002287246
0.01485,-9.39E-05,0.002338997
0.0149,-9.60E-05,0.002390674
0.01495,-9.82E-05,0.002442265
0.015,-0.000100417,0.002493762
0.01505,-0.000102601,0.002545152
0.0151,-0.000104785,0.002596425
0.01515,-0.000106966,0.00264757
0.0152,-0.000109145,0.002698576
0.01525,-0.000111322,0.002749434
0.0153,-0.000113494,0.00280013
0.01535,-0.000115663,0.002850656
0.0154,-0.000117827,0.002901
0.01545,-0.000119985,0.00295115
0.0155,-0.000122137,0.003001097
0.01555,-0.000124283,0.003050829
0.0156,-0.000126421,0.003100335
0.01565,-0.000128552,0.003149604
0.0157,-0.000130673,0.003198626
0.01575,-0.000132786,0.00324739
0.0158,-0.000134888,0.003295883
0.01585,-0.00013698,0.003344097
0.0159,-0.000139061,0.003392019
0.01595,-0.000141129,0.003439638
0.016,-0.000143186,0.003486945
0.01605,-0.000145229,0.003533927
0.0161,-0.000147258,0.003580575
0.01615,-0.000149272,0.003626877
0.0162,-0.000151271,0.003672822
0.01625,-0.000153254,0.003718399
0.0163,-0.000155221,0.003763598
0.01635,-0.00015717,0.003808409
0.0164,-0.000159102,0.003852819
0.01645,-0.000161014,0.003896819
0.0165,-0.000162908,0.003940398
0.01655,-0.000164781,0.003983545
0.0166,-0.000166634,0.00402625
0.01665,-0.000168465,0.004068501
0.0167,-0.000170275,0.00411029
0.01675,-0.000172061,0.004151604
0.0168,-0.000173825,0.004192434
0.01685,-0.000175564,0.004232769
0.0169,-0.000177279,0.004272599
0.01695,-0.000178968,0.004311914
0.017,-0.000180631,0.004350704
0.01705,-0.000182268,0.004388957
0.0171,-0.000183877,0.004426665
0.01715,-0.000185458,0.004463817
0.0172,-0.00018701,0.004500403
0.01725,-0.000188533,0.004536414
0.0173,-0.000190026,0.004571839
0.01735,-0.000191488,0.004606668
0.0174,-0.000192919,0.004640893
0.01745,-0.000194318,0.004674503
0.0175,-0.000195684,0.00470749
0.01755,-0.000197017,0.004739842
0.0176,-0.000198316,0.004771552
0.01765,-0.000199581,0.004802609
0.0177,-0.00020081,0.004833006
0.01775,-0.000202004,0.004862731
0.0178,-0.000203161,0.004891777
0.01785,-0.000204281,0.004920135
0.0179,-0.000205364,0.004947796
0.01795,-0.000206409,0.00497475
0.018,-0.000207414,0.00500099
0.01805,-0.00020838,0.005026507
0.0181,-0.000209307,0.005051292
0.01815,-0.000210192,0.005075338
0.0182,-0.000211037,0.005098635
0.01825,-0.00021184,0.005121177
0.0183,-0.0002126,0.005142954
0.01835,-0.000213318,0.005163959
0.0184,-0.000213992,0.005184184
0.01845,-0.000214623,0.005203622
0.0185,-0.000215209,0.005222265
0.01855,-0.00021575,0.005240105
0.0186,-0.000216245,0.005257136
0.01865,-0.000216695,0.005273351
0.0187,-0.000217098,0.005288741
0.01875,-0.000217454,0.005303301
0.0188,-0.000217763,0.005317023
0.01885,-0.000218024,0.005329901
0.0189,-0.000218236,0.005341929
0.01895,-0.000218399,0.0053531
0.019,-0.000218514,0.005363407
0.01905,-0.000218578,0.005372845
0.0191,-0.000218592,0.005381408
0.01915,-0.000218556,0.00538909
0.0192,-0.000218469,0.005395886
0.01925,-0.00021833,0.005401789
0.0193,-0.00021814,0.005406795
0.01935,-0.000217897,0.005410897
0.0194,-0.000217602,0.005414092
0.01945,-0.000217254,0.005416375
0.0195,-0.000216853,0.005417739
0.01955,-0.000216398,0.005418182
0.0196,-0.00021589,0.005417698
0.01965,-0.000215327,0.005416283
0.0197,-0.00021471,0.005413933
0.01975,-0.000214038,0.005410645
0.0198,-0.00021331,0.005406413
0.01985,-0.000212528,0.005401235
0.0199,-0.00021169,0.005395107
0.01995,-0.000210797,0.005388026
0.02,-0.000209847,0.005379988
0.02005,-0.000208841,0.005370991
0.0201,-0.000207779,0.005361032
0.02015,-0.00020666,0.005350108
0.0202,-0.000205484,0.005338216
0.02025,-0.000204251,0.005325355
0.0203,-0.000202961,0.005311522
0.02035,-0.000201614,0.005296716
0.0204,-0.00020021,0.005280934
0.02045,-0.000198748,0.005264174
0.0205,-0.000197228,0.005246437
0.02055,-0.000195651,0.005227719
0.0206,-0.000194016,0.005208021
0.02065,-0.000192324,0.00518734
0.0207,-0.000190573,0.005165678
0.02075,-0.000188765,0.005143032
0.0208,-0.000186899,0.005119403
0.02085,-0.000184975,0.00509479
0.0209,-0.000182994,0.005069194
0.02095,-0.000180954,0.005042614
0.021,-0.000178857,0.005015052
0.02105,-0.000176702,0.004986507
0.0211,-0.000174489,0.004956981
0.02115,-0.000172219,0.004926474
0.0212,-0.000169892,0.004894987
0.02125,-0.000167507,0.004862522
0.0213,-0.000165065,0.00482908
0.02135,-0.000162567,0.004794663
0.0214,-0.000160011,0.004759273
0.02145,-0.000157399,0.004722912
0.0215,-0.00015473,0.004685582
0.02155,-0.000152005,0.004647286
0.0216,-0.000149224,0.004608025
0.02165,-0.000146387,0.004567804
0.0217,-0.000143495,0.004526625
0.02175,-0.000140547,0.00448449
0.0218,-0.000137545,0.004441405
0.02185,-0.000134488,0.004397371
0.0219,-0.000131376,0.004352393
0.02195,-0.000128211,0.004306475
0.022,-0.000124991,0.004259622
0.02205,-0.000121719,0.004211836
0.0221,-0.000118394,0.004163123
0.02215,-0.000115016,0.004113487
0.0222,-0.000111586,0.004062934
0.02225,-0.000108104,0.004011469
0.0223,-0.000104572,0.003959096
0.02235,-0.000100988,0.003905821
0.0224,-9.74E-05,0.00385165
0.02245,-9.37E-05,0.003796588
0.0225,-8.99E-05,0.003740642
0.02255,-8.62E-05,0.003683818
0.0226,-8.23E-05,0.003626122
0.02265,-7.84E-05,0.003567561
0.0227,-7.45E-05,0.003508141
0.02275,-7.06E-05,0.00344787
0.0228,-6.65E-05,0.003386753
0.02285,-6.25E-05,0.0033248
0.0229,-5.84E-05,0.003262017
0.02295,-5.42E-05,0.003198412
0.023,-5.00E-05,0.003133992
0.02305,-4.58E-05,0.003068766
0.0231,-4.15E-05,0.003002742
0.02315,-3.72E-05,0.002935928
0.0232,-3.28E-05,0.002868332
0.02325,-2.84E-05,0.002799964
0.0233,-2.40E-05,0.002730833
0.02335,-1.95E-05,0.002660946
0.0234,-1.50E-05,0.002590314
0.02345,-1.04E-05,0.002518946
0.0235,-5.83E-06,0.002446852
0.02355,-1.20E-06,0.00237404
0.0236,3.46E-06,0.002300522
0.02365,8.16E-06,0.002226307
0.0237,1.29E-05,0.002151404
0.02375,1.76E-05,0.002075826
0.0238,2.24E-05,0.001999582
0.02385,2.73E-05,0.001922683
0.0239,3.21E-05,0.001845139
0.02395,3.70E-05,0.001766962
0.024,4.19E-05,0.001688163
0.02405,4.68E-05,0.001608753
0.0241,5.18E-05,0.001528744
0.02415,5.68E-05,0.001448147
0.0242,6.18E-05,0.001366974
0.02425,6.68E-05,0.001285236
0.0243,7.19E-05,0.001202947
0.02435,7.69E-05,0.001120118
0.0244,8.20E-05,0.001036761
0.02445,8.71E-05,0.000952889
0.0245,9.23E-05,0.000868515
0.02455,9.74E-05,0.000783651
0.0246,0.000102566,0.00069831
0.02465,0.000107742,0.000612505
0.0247,0.000112931,0.000526249
0.02475,0.000118133,0.000439556
0.0248,0.000123346,0.000352439
0.02485,0.000128569,0.000264911
0.0249,0.000133801,0.000176986
0.02495,0.000139041,8.87E-05
0.025,0.000144288,-6.03E-16
0.02505,0.000149541,-8.90E-05
0.0251,0.000154798,-0.000178407
0.02515,0.000160059,-0.000268109
0.0252,0.000165322,-0.000358123
0.02525,0.000170586,-0.000448436
0.0253,0.00017585,-0.000539033
0.02535,0.000181113,-0.000629899
0.0254,0.000186374,-0.000721019
0.02545,0.000191631,-0.000812379
0.0255,0.000196883,-0.000903965
0.02555,0.000202129,-0.00099576
0.0256,0.000207368,-0.001087749
0.02565,0.000212598,-0.001179919
0.0257,0.000217819,-0.001272253
0.02575,0.000223029,-0.001364736
0.0258,0.000228227,-0.001457352
0.02585,0.000233412,-0.001550087
0.0259,0.000238582,-0.001642924
0.02595,0.000243736,-0.001735848
0.026,0.000248873,-0.001828843
0.02605,0.000253992,-0.001921894
0.0261,0.000259092,-0.002014984
0.02615,0.00026417,-0.002108098
0.0262,0.000269227,-0.00220122
0.02625,0.000274261,-0.002294334
0.0263,0.000279269,-0.002387424
0.02635,0.000284253,-0.002480473
0.0264,0.000289209,-0.002573465
0.02645,0.000294136,-0.002666385
0.0265,0.000299035,-0.002759216
0.02655,0.000303902,-0.002851941
0.0266,0.000308737,-0.002944545
0.02665,0.000313539,-0.003037011
0.0267,0.000318307,-0.003129323
0.02675,0.000323038,-0.003221464
0.0268,0.000327733,-0.003313418
0.02685,0.000332389,-0.003405169
0.0269,0.000337006,-0.003496699
0.02695,0.000341581,-0.003587993
0.027,0.000346115,-0.003679034
0.02705,0.000350605,-0.003769805
0.0271,0.000355051,-0.003860291
0.02715,0.000359451,-0.003950474
0.0272,0.000363804,-0.004040337
0.02725,0.000368109,-0.004129866
0.0273,0.000372364,-0.004219042
0.02735,0.000376568,-0.00430785
0.0274,0.000380721,-0.004396272
0.02745,0.00038482,-0.004484293
0.0275,0.000388865,-0.004571896
0.02755,0.000392855,-0.004659065
0.0276,0.000396787,-0.004745783
0.02765,0.000400662,-0.004832034
0.0277,0.000404478,-0.004917801
0.02775,0.000408234,-0.005003068
0.0278,0.000411928,-0.005087819
0.02785,0.00041556,-0.005172037
0.0279,0.000419127,-0.005255707
0.02795,0.00042263,-0.005338812
0.028,0.000426067,-0.005421336
0.02805,0.000429437,-0.005503264
0.0281,0.000432739,-0.005584578
0.02815,0.000435971,-0.005665263
0.0282,0.000439133,-0.005745303
0.02825,0.000442224,-0.005824683
0.0283,0.000445242,-0.005903386
0.02835,0.000448186,-0.005981397
0.0284,0.000451056,-0.0060587
0.02845,0.00045385,-0.00613528
0.0285,0.000456567,-0.006211121
0.02855,0.000459207,-0.006286207
0.0286,0.000461767,-0.006360524
