Domain, Ia, Ea
0,0,0
5.00E-05,7.63E-11,-4.44E-07
0.0001,5.97E-10,-1.78E-06
0.00015,2.00E-09,-3.99E-06
0.0002,4.74E-09,-7.09E-06
0.00025,9.24E-09,-1.11E-05
0.0003,1.59E-08,-1.59E-05
0.00035,2.53E-08,-2.16E-05
0.0004,3.76E-08,-2.81E-05
0.00045,5.35E-08,-3.55E-05
0.0005,7.32E-08,-4.37E-05
0.00055,9.71E-08,-5.27E-05
0.0006,1.26E-07,-6.25E-05
0.00065,1.59E-07,-7.30E-05
0.0007,1.98E-07,-8.43E-05
0.00075,2.43E-07,-9.63E-05
0.0008,2.94E-07,-0.000109008
0.00085,3.52E-07,-0.000122382
0.0009,4.16E-07,-0.000136399
0.00095,4.87E-07,-0.000151032
0.001,5.65E-07,-0.000166251
0.00105,6.51E-07,-0.000182024
0.0011,7.45E-07,-0.00019832
0.00115,8.47E-07,-0.000215104
0.0012,9.57E-07,-0.000232343
0.00125,1.08E-06,-0.00025
0.0013,1.20E-06,-0.000268039
0.00135,1.34E-06,-0.000286421
0.0014,1.48E-06,-0.000305108
0.00145,1.64E-06,-0.00032406
0.0015,1.80E-06,-0.000343237
0.00155,1.97E-06,-0.000362597
0.0016,2.15E-06,-0.000382099
0.00165,2.34E-06,-0.0004017
0.0017,2.54E-06,-0.000421357
0.00175,2.75E-06,-0.000441026
0.0018,2.97E-06,-0.000460663
0.00185,3.19E-06,-0.000480223
0.0019,3.43E-06,-0.000499663
0.00195,3.67E-06,-0.000518936
0.002,3.92E-06,-0.000537999
0.00205,4.18E-06,-0.000556805
0.0021,4.45E-06,-0.000575309
0.00215,4.73E-06,-0.000593467
0.0022,5.01E-06,-0.000611232
0.00225,5.31E-06,-0.000628561
0.0023,5.61E-06,-0.000645409
0.00235,5.91E-06,-0.00066173
0.0024,6.22E-06,-0.000677483
0.00245,6.54E-06,-0.000692623
0.0025,6.86E-06,-0.000707107
0.00255,7.19E-06,-0.000720893
0.0026,7.53E-06,-0.00073394
0.00265,7.87E-06,-0.000746207
0.0027,8.21E-06,-0.000757654
0.00275,8.55E-06,-0.000768241
0.0028,8.90E-06,-0.000777932
0.00285,9.25E-06,-0.000786688
0.0029,9.60E-06,-0.000794474
0.00295,9.95E-06,-0.000801256
0.003,1.03E-05,-0.000806998
0.00305,1.07E-05,-0.00081167
0.0031,1.10E-05,-0.00081524
0.00315,1.14E-05,-0.000817678
0.0032,1.17E-05,-0.000818956
0.00325,1.21E-05,-0.000819048
0.0033,1.24E-05,-0.000817928
