Domain, Ia, Ea
0,0,0
5.00E-05,8.33E-13,-4.44E-09
0.0001,6.11E-12,-1.78E-08
0.00015,2.03E-11,-4.00E-08
0.0002,4.77E-11,-7.11E-08
0.00025,9.30E-11,-1.11E-07
0.0003,1.60E-10,-1.60E-07
0.00035,2.54E-10,-2.18E-07
0.0004,3.79E-10,-2.84E-07
0.00045,5.40E-10,-3.60E-07
0.0005,7.40E-10,-4.44E-07
0.00055,9.85E-10,-5.38E-07
0.0006,1.28E-09,-6.40E-07
0.00065,1.63E-09,-7.51E-07
0.0007,2.03E-09,-8.71E-07
0.00075,2.50E-09,-1.00E-06
0.0008,3.03E-09,-1.14E-06
0.00085,3.63E-09,-1.28E-06
0.0009,4.31E-09,-1.44E-06
0.00095,5.07E-09,-1.60E-06
0.001,5.91E-09,-1.78E-06
0.00105,6.84E-09,-1.96E-06
0.0011,7.86E-09,-2.15E-06
0.00115,8.99E-09,-2.35E-06
0.0012,1.02E-08,-2.56E-06
0.00125,1.15E-08,-2.78E-06
0.0013,1.30E-08,-3.00E-06
0.00135,1.45E-08,-3.24E-06
0.0014,1.62E-08,-3.48E-06
0.00145,1.80E-08,-3.74E-06
0.0015,1.99E-08,-4.00E-06
0.00155,2.20E-08,-4.27E-06
0.0016,2.42E-08,-4.55E-06
0.00165,2.65E-08,-4.84E-06
0.0017,2.90E-08,-5.14E-06
0.00175,3.16E-08,-5.44E-06
0.0018,3.44E-08,-5.76E-06
0.00185,3.73E-08,-6.08E-06
0.0019,4.04E-08,-6.42E-06
0.00195,4.37E-08,-6.76E-06
0.002,4.72E-08,-7.11E-06
0.00205,5.08E-08,-7.47E-06
0.0021,5.46E-08,-7.84E-06
0.00215,5.86E-08,-8.21E-06
0.0022,6.27E-08,-8.60E-06
0.00225,6.71E-08,-9.00E-06
0.0023,7.17E-08,-9.40E-06
0.00235,7.64E-08,-9.81E-06
0.0024,8.14E-08,-1.02E-05
0.00245,8.66E-08,-1.07E-05
0.0025,9.20E-08,-1.11E-05
0.00255,9.76E-08,-1.16E-05
0.0026,1.03E-07,-1.20E-05
0.00265,1.10E-07,-1.25E-05
0.0027,1.16E-07,-1.30E-05
0.00275,1.22E-07,-1.34E-05
0.0028,1.29E-07,-1.39E-05
0.00285,1.36E-07,-1.44E-05
0.0029,1.43E-07,-1.49E-05
0.00295,1.51E-07,-1.55E-05
0.003,1.59E-07,-1.60E-05
0.00305,1.67E-07,-1.65E-05
0.0031,1.75E-07,-1.71E-05
0.00315,1.84E-07,-1.76E-05
0.0032,1.93E-07,-1.82E-05
0.00325,2.02E-07,-1.88E-05
0.0033,2.11E-07,-1.94E-05
0.00335,2.21E-07,-1.99E-05
0.0034,2.31E-07,-2.05E-05
0.00345,2.41E-07,-2.12E-05
0.0035,2.52E-07,-2.18E-05
0.00355,2.63E-07,-2.24E-05
0.0036,2.74E-07,-2.30E-05
0.00365,2.85E-07,-2.37E-05
0.0037,2.97E-07,-2.43E-05
0.00375,3.09E-07,-2.50E-05
0.0038,3.22E-07,-2.57E-05
0.00385,3.35E-07,-2.63E-05
0.0039,3.48E-07,-2.70E-05
0.00395,3.61E-07,-2.77E-05
0.004,3.75E-07,-2.84E-05
0.00405,3.90E-07,-2.91E-05
0.0041,4.04E-07,-2.99E-05
0.00415,4.19E-07,-3.06E-05
0.0042,4.34E-07,-3.13E-05
0.00425,4.50E-07,-3.21E-05
0.0043,4.66E-07,-3.29E-05
0.00435,4.82E-07,-3.36E-05
0.0044,4.99E-07,-3.44E-05
0.00445,5.16E-07,-3.52E-05
0.0045,5.34E-07,-3.60E-05
0.00455,5.52E-07,-3.68E-05
0.0046,5.70E-07,-3.76E-05
0.00465,5.89E-07,-3.84E-05
0.0047,6.08E-07,-3.93E-05
0.00475,6.27E-07,-4.01E-05
0.0048,6.47E-07,-4.09E-05
0.00485,6.68E-07,-4.18E-05
0.0049,6.88E-07,-4.27E-05
0.00495,7.10E-07,-4.35E-05
0.005,7.31E-07,-4.44E-05
0.00505,7.53E-07,-4.53E-05
0.0051,7.76E-07,-4.62E-05
0.00515,7.99E-07,-4.71E-05
0.0052,8.22E-07,-4.80E-05
0.00525,8.46E-07,-4.90E-05
0.0053,8.70E-07,-4.99E-05
0.00535,8.95E-07,-5.09E-05
0.0054,9.20E-07,-5.18E-05
0.00545,9.46E-07,-5.28E-05
0.0055,9.72E-07,-5.37E-05
0.00555,9.99E-07,-5.47E-05
0.0056,1.03E-06,-5.57E-05
0.00565,1.05E-06,-5.67E-05
0.0057,1.08E-06,-5.77E-05
0.00575,1.11E-06,-5.87E-05
0.0058,1.14E-06,-5.98E-05
0.00585,1.17E-06,-6.08E-05
0.0059,1.20E-06,-6.18E-05
0.00595,1.23E-06,-6.29E-05
0.006,1.26E-06,-6.40E-05
0.00605,1.29E-06,-6.50E-05
0.0061,1.32E-06,-6.61E-05
0.00615,1.36E-06,-6.72E-05
0.0062,1.39E-06,-6.83E-05
0.00625,1.42E-06,-6.94E-05
0.0063,1.46E-06,-7.05E-05
0.00635,1.49E-06,-7.16E-05
0.0064,1.53E-06,-7.28E-05
0.00645,1.56E-06,-7.39E-05
0.0065,1.60E-06,-7.51E-05
0.00655,1.64E-06,-7.62E-05
0.0066,1.68E-06,-7.74E-05
0.00665,1.71E-06,-7.86E-05
0.0067,1.75E-06,-7.98E-05
0.00675,1.79E-06,-8.09E-05
0.0068,1.83E-06,-8.22E-05
