Freq_Hz,Re_Ydd,Im_Ydd,Mag_Ydd,Phase_Ydd_deg,Re_Yqd,Im_Yqd,Mag_Yqd,Phase_Yqd_deg,Re_Ydq,Im_Ydq,Mag_Ydq,Phase_Ydq_deg,Re_Yqq,Im_Yqq,Mag_Yqq,Phase_Yqq_deg,CondNum
0.1,-0.0024848971509012,0.00284532880787125,0.00377764607599215,131.131529315138,0.00312874810676008,0.00115557194722806,0.00333532775612461,20.2712068360516,-0.000423016540709092,0.000643511432813623,0.000770097369087396,123.319186336116,0.000652802550225432,0.000275672568397961,0.000708622984772549,22.8938905661037,3.18708596781538
0.2,-0.000812090148021759,3.21072906750083e-05,0.000812724606880148,177.7358983805,0.00378578095162891,4.562650340378e-05,0.00378605588859028,0.690499410859359,3.13237193410121e-05,-0.000210849779137511,0.000213163797948178,-81.5499747019634,0.000831580149820294,-4.83026491434841e-05,0.000832981807418038,-3.32431184833633,3.43360713888815
0.3,-0.000811223068033425,4.8549148108696e-05,0.000812674526419798,176.575112890189,0.00378685736374772,6.83906874483593e-05,0.00378747488169889,1.03464995680369,3.75530079702521e-05,-0.000317231840334843,0.000319446817060125,-83.2489054100705,0.000834696917070451,-7.26105275984852e-05,0.000837849170247871,-4.97166103050663,3.43332145612676
0.4,-0.000809872061012689,6.54511348338777e-05,0.000812512526832653,175.379589573482,0.00378834466976694,9.11010607361613e-05,0.00378943989795574,1.3775674919057,4.63211090215782e-05,-0.000424780431027262,0.000427298560405596,-83.7766468530278,0.000839075614450142,-9.71092515762206e-05,0.000844676324698744,-6.60167718005577,3.43279511490472
0.5,-0.000807959366423221,8.29156890376889e-05,0.000812202775961525,174.140613657393,0.0037902039597291,0.000113757901790406,0.00379191072107004,1.71914009101858,5.76559327950924e-05,-0.000533925474342653,0.000537029439359239,-83.8367980995251,0.000844724000097622,-0.000121863512343952,0.000853469010557344,-8.2090981431775,3.43187066538873
0.6,-0.000805376273798741,0.000101014231179798,0.000811686403297967,172.851014987323,0.00379240207574996,0.000136359784091764,0.00379485276326634,2.05924257682482,7.15907168266789e-05,-0.000645127774203571,0.000649087879862667,-83.6677169680617,0.000851655131700913,-0.000146941317594309,0.000864238516943587,-9.78921635287332,3.43034475780566
0.7,-0.000802014758366754,0.000119811398287584,0.000810914572441333,171.503529652887,0.00379490679716058,0.000158920927067261,0.00379823293916993,2.39799859381971,8.81522273512239e-05,-0.000758877626738205,0.000763980410449634,-83.3741419992174,0.00085988651496144,-0.00017240920500296,0.000877000429066191,-11.3376013425419,3.42795206015739
0.8,-0.000797781474955716,0.000139353478293361,0.00080986089774416,170.091753658178,0.00379768225342811,0.000181464594025908,0.00380201524153807,2.73568258803839,0.000107352946320753,-0.000875702686071781,0.000882258380224908,-83.0109464995456,0.000869440155399553,-0.00019833430826448,0.000891775017398418,-12.8502693343483,3.42435242638579
0.9,-0.000792585756304386,0.000159671998687563,0.000808509324783256,168.609817407438,0.00380069725712372,0.000204020306054867,0.00380616919298006,3.07267147185279,0.000129190223774042,-0.000996170632593617,0.0010045128387237,-82.610732998803,0.000880346322653445,-0.000224786209277286,0.00090859148559223,-14.3237547308271,3.41913132640039
1,-0.00078634333558332,0.000180798821370706,0.000806860616975037,167.051397811313,0.00380392668854608,0.000226627189495968,0.00381067161204584,3.40949031889199,0.000153641185491466,-0.00112088916138522,0.00113137002169497,-82.1950593584216,0.000892645216522816,-0.000251837769040576,0.000927490023933627,-15.7551001765656,3.41179539853381
1.1,-0.000778982204391757,0.000202765582923108,0.00080493922526933,165.409924683754,0.00380734913408288,0.000249330238248437,0.0038155042912447,3.74675425335644,0.000180656884858066,-0.00125051080097279,0.0012634928465948,-81.7795544074071,0.000906387442545884,-0.000279568840397808,0.000948523554017634,-17.1420110177339,3.40176781101834
1.2,-0.000770434136735623,0.000225605835080805,0.000802786865780745,163.678413039358,0.00381095079846473,0.000272176682967017,0.00382065781444372,4.08510687950021,0.000210159961400822,-0.00138573667474851,0.00140158244178466,-81.3762738985615,0.00092163557388116,-0.000308069946551567,0.000971760887776176,-18.4829461055547,3.38839386946443
1.3,-0.000760631988839206,0.000249364436637312,0.000800464643007379,161.848865322148,0.00381472529139551,0.00029521698548376,0.00382613148197114,4.42523100530714,0.000242040343929345,-0.00152731968988868,0.00154637930767684,-80.9949985191356,0.000938464134840488,-0.00033744533452638,0.000997288466881838,-19.7771593595318,3.37094914468268
1.4,-0.000749509755569159,0.000274097925363868,0.000798056731305561,159.912385021658,0.00381867068679861,0.000318502518785682,0.00383193027972689,4.76781327164387,0.000276149148680481,-0.00167607120775626,0.00169866802106429,-80.6440133902989,0.000956958401172357,-0.00036781686514598,0.00102521150396402,-21.024780527802,3.34865181007704
1.5,-0.000736992884771366,0.000299874104019438,0.000795665124575082,157.859146032928,0.00382279060362653,0.000342082815452328,0.00383806574354883,5.11349889914873,0.000312293687904787,-0.00183286910050268,0.00185928386404085,-80.3305080739512,0.00097721401861027,-0.000399328375005748,0.00105565637839837,-22.2268706129868,3.32068679322632
1.6,-0.000722991219437317,0.000326775501985947,0.000793409435336905,155.6781193026,0.00382709361206915,0.000366006322070739,0.00384455538955238,5.46290074124931,0.000350228564378227,-0.00199866565851205,0.00202911913445757,-80.0609023246973,0.000999335529970622,-0.000432148900464737,0.00108877186482502,-23.3854049132433,3.28623746775274
1.7,-0.000707396207569171,0.000354895351863917,0.000791429153656762,153.357424164174,0.00383158939051365,0.000390320194201379,0.00385141884394546,5.81659917231511,0.000389643582476508,-0.00217449829783379,0.00220913217545877,-79.8411074303809,0.00102343418990091,-0.000466476789647689,0.00112473025047704,-24.5032892856647,3.24452486124904
1.8,-0.000690070296953481,0.000384332081572095,0.000789878575265214,150.884542492766,0.00383628986789363,0.000415069411162493,0.0038586788628475,6.17512602570677,0.000430148342774913,-0.00236150187945138,0.00240035804067735,-79.6767329924706,0.00104962628929631,-0.0005025444245667,0.00116372945560599,-25.5843604678684,3.19485753102304
1.9,-0.000670837779975898,0.000415185435313557,0.000788924757337162,148.246392100911,0.0038412093113865,0.000440298024514655,0.00386636150977555,6.53898129641441,0.000471250483679231,-0.00256091825460296,0.00260391615170815,-79.5732928594586,0.00107803057335511,-0.000540622372574515,0.00120599438921433,-26.6333418718883,3.13668864658856
2,-0.000649480172987547,0.000447544438421241,0.000788746169224116,145.430011873818,0.00384636301262103,0.000466050159330697,0.00387449495752302,6.90864833985411,0.000512326801294728,-0.00277410691639428,0.00282101895330596,-79.536416192198,0.00110876473713601,-0.000581024807121317,0.0012517783624934,-27.655839281151,3.06967402854618
2.1,-0.000625724745353141,0.000481473349182402,0.00078952393435549,142.422974164357,0.00385176987883355,0.000492369104255571,0.00388311196520456,7.28457420356477,0.000552587001104705,-0.00300255153189557,0.00305297692350898,-79.5720223817598,0.00114194126384656,-0.000624115939991435,0.00130136488220133,-28.658344517938,2.99373035648807
2.2,-0.000599231434052752,0.000516995266970375,0.000791430614537173,139.213559960102,0.00385745681917225,0.000519297687448991,0.00389225425685019,7.66716393726906,0.000591026380114974,-0.00324785931015946,0.00330119709811173,-79.6865043886154,0.00117766117992567,-0.000670316570926002,0.00135506832298667,-29.6482316627803,2.90908523991756
2.3,-0.000569581637395693,0.000554065980480573,0.000794614593613946,135.7911067042,0.00386346199006977,0.000546876179494559,0.00390197541053406,8.05673864327339,0.00062636520483537,-0.00351174922878418,0.00356717199132517,-79.8869163937336,0.00121600458279331,-0.000720111022004957,0.00141323282915001,-30.6337769023338,2.81631100434977
