Domain, Ia
0.01425,0.001801956
0.0143,0.001814606
0.01435,0.001827301
0.0144,0.00184004
0.01445,0.001852822
0.0145,0.001865649
0.01455,0.00187852
0.0146,0.001891434
0.01465,0.001904393
0.0147,0.001917396
0.01475,0.001930443
0.0148,0.001943534
0.01485,0.001956669
0.0149,0.001969848
0.01495,0.001983072
0.015,0.001996339
0.01505,0.00200965
0.0151,0.002023005
0.01515,0.002036405
0.0152,0.002049848
0.01525,0.002063335
0.0153,0.002076867
0.01535,0.002090442
0.0154,0.002104061
0.01545,0.002117725
0.0155,0.002131432
0.01555,0.002145184
0.0156,0.002158979
0.01565,0.002172818
0.0157,0.002186702
0.01575,0.002200629
0.0158,0.002214601
0.01585,0.002228616
0.0159,0.002242676
0.01595,0.002256779
0.016,0.002270926
0.01605,0.002285118
0.0161,0.002299353
0.01615,0.002313632
0.0162,0.002327956
0.01625,0.002342323
0.0163,0.002356734
0.01635,0.002371189
0.0164,0.002385688
0.01645,0.002400232
0.0165,0.002414819
0.01655,0.00242945
0.0166,0.002444125
0.01665,0.002458843
0.0167,0.002473606
0.01675,0.002488413
0.0168,0.002503264
0.01685,0.002518158
0.0169,0.002533097
0.01695,0.00254808
0.017,0.002563106
0.01705,0.002578176
0.0171,0.002593291
0.01715,0.002608449
0.0172,0.002623651
0.01725,0.002638897
0.0173,0.002654187
0.01735,0.002669521
0.0174,0.002684898
0.01745,0.00270032
0.0175,0.002715786
0.01755,0.002731295
0.0176,0.002746848
0.01765,0.002762446
0.0177,0.002778087
0.01775,0.002793772
0.0178,0.0028095
0.01785,0.002825273
0.0179,0.00284109
0.01795,0.00285695
0.018,0.002872855
0.01805,0.002888803
0.0181,0.002904795
0.01815,0.002920831
0.0182,0.00293691
0.01825,0.002953034
0.0183,0.002969201
0.01835,0.002985413
0.0184,0.003001668
0.01845,0.003017967
0.0185,0.00303431
0.01855,0.003050696
0.0186,0.003067127
0.01865,0.003083601
0.0187,0.003100119
0.01875,0.003116681
0.0188,0.003133287
0.01885,0.003149936
0.0189,0.003166629
0.01895,0.003183367
0.019,0.003200148
0.01905,0.003216972
0.0191,0.003233841
0.01915,0.003250753
0.0192,0.003267709
0.01925,0.003284709
0.0193,0.003301753
0.01935,0.00331884
0.0194,0.003335971
0.01945,0.003353146
0.0195,0.003370365
0.01955,0.003387628
0.0196,0.003404934
0.01965,0.003422284
0.0197,0.003439678
0.01975,0.003457115
0.0198,0.003474597
