f,dd,dq,qd,qq
288.0,0.21258436437916906-1.8221023867477226j,-0.06887655331271211-0.008509281881858899j,0.05831724960718362+0.03718814876131245j,0.2031802132674232-1.8217013391158947j
293.0,0.20145319800722625-1.7848916572048894j,-0.0639140270193016-0.017500796922844453j,0.04497932677935756-0.012540927530959232j,0.20525892074841123-1.7848537712746795j
298.0,0.2050520732085481-1.748932247707659j,-0.05498246332668923-0.009368923837354902j,0.017710448609897726-0.021304389805284988j,0.24672949206717454-1.781331869039536j
303.0,0.20312681966357213-1.7127433889952366j,-0.05701725061999359-0.008284976416560709j,0.04312974228625986-0.03682453682269678j,0.27378851337599763-1.7410694047855673j
308.0,0.19698932084291843-1.6792843237662893j,-0.03951455470142478-0.002749861121181092j,0.057815874787845764+0.0429546494458533j,0.14922370399367768-1.7288286776564488j
314.0,0.17473708844499655-1.6435565740061504j,-0.04950295506889553-0.0032818025284518312j,0.06568643451252727+0.019854121107158416j,0.14777663222833892-1.6269420535101853j
319.0,0.19320805743361213-1.5919764589403025j,-0.036545124324774-0.026503513177529518j,0.04236922816829963+0.05225859549661173j,0.22541401152464524-1.589593919684823j
325.0,0.17866434825057265-1.5659264893527032j,-0.0589929310765903-0.013156247123921695j,0.08403523239955939+0.029602939268135734j,0.16579168126349741-1.5584981008196717j
330.0,0.17925540936025228-1.5192821831801675j,-0.06749926718975746-0.011661266006630581j,0.04295018707057231-0.010625880115624261j,0.19725343324521938-1.5719861687913712j
336.0,0.16995186192034037-1.497443467571597j,-0.039448915510113675-0.009655445528909332j,0.04536819322711917+0.018342680944011716j,0.1671590530492848-1.5036653809758642j
342.0,0.17597090832553153-1.4622685555091142j,-0.051466838477397726-0.013020020680397329j,0.018732191184914565+0.04072326571659448j,0.182990931445991-1.491633211513063j
348.0,0.1681722157539309-1.421703037155319j,-0.05368649851057952-0.009029593743689585j,0.07964007243958032+0.009855111951184273j,0.14919981336366028-1.4348543003040832j
354.0,0.16187688777888223-1.3946000128491822j,-0.04186675635773868-0.00030460314088408963j,0.06164692001294776+0.017127850735749378j,0.13836309997940366-1.3909861712670646j
