Frequency,Element,Rezonance_Magnitude_pu,Rezonance_Phase_deg,Richardson_Magnitude_pu,Richardson_Phase_deg,Magnitude_Difference_pct,Phase_Difference_deg,Complex_Error_pct
1,Ydd,0.914821001468656,16.3606920589301,1.0405011019833,7.42957600000001,13.7382176745917,-8.93111605893014,21.5531406526707
1,Ydq,1.55989593365829,64.5157320199042,1.55208828218535,57.192593,0.500523868578319,-7.32313901990423,12.7504135698527
1,Yqd,2.658322064078,175.364315333669,2.48924998524285,177.609607,6.3601051625696,2.24529166633076,7.4046724106038
1,Yqq,1.78347587778203,124.111046781549,1.9736244181944,125.670959,10.6616827724545,1.55991221845079,11.0396371237633
5,Ydd,1.60145054584285,22.0230803915049,1.5111610924482,20.937233,5.63797949484196,-1.08584739150493,5.93092334105797
5,Ydq,3.15746141845863,5.67796115109196,3.11092274116305,4.80090799999999,1.47392702959139,-0.877053151091967,2.11685235248943
5,Yqd,2.19890952985739,171.14685932864,2.23593080455755,172.287999,1.68361973048352,1.14113967136038,2.62067814644957
5,Yqq,2.21365664290628,28.6297770866992,2.2990643538084,28.585186,3.85821853519222,-0.0445910866991532,3.8590336691793
10,Ydd,1.97083568964461,24.1796210026467,1.9046163084174,25.121098,3.3599645863503,0.94147699735332,3.72808888581614
10,Ydq,3.31170125395821,-9.97737671201741,3.2823334700307,-10.403165,0.886788441209998,-0.425788287982581,1.15488182912047
10,Yqd,2.49689809582526,170.909840384213,2.5131345836877,170.590068,0.650266340047694,-0.319772384212513,0.858111662907267
10,Yqq,2.10368357394463,21.9845822190387,2.14526170924515,20.76248,1.97644435767278,-1.22210221903865,2.92329270486462
